time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
1744272000,1.671,1.66,1.664,1857.8,3093.92,1.661,direct,
1744275600,1.663,1.661,1.661,1176.74,1955.42,1.662,direct,
1744279200,1.666,1.649,1.662,725.64,1205.79,1.649,direct,
1744282800,1.659,1.647,1.649,748.52,1238.82,1.653,direct,
1744286400,1.683,1.651,1.653,3365.31,5617.25,1.667,direct,
1744290000,1.69,1.657,1.667,768.3,1292.4,1.663,direct,
1744293600,1.682,1.663,1.663,4251.36,7129.82,1.67,direct,
1744297200,1.67,1.589,1.67,14254,23106.75,1.6,direct,
1744300800,1.611,1.594,1.6,1879.6,3003.22,1.608,direct,
1744304400,1.611,1.592,1.608,566.13,904.66,1.597,direct,
1744308000,1.608,1.595,1.597,12712.97,20343.45,1.601,direct,
1744311600,1.609,1.601,1.601,38.2,61.43,1.609,direct,
1744315200,1.629,1.609,1.609,375,606.74,1.629,direct,
1744318800,1.629,1.613,1.629,1390.32,2253.92,1.617,direct,
1744322400,1.62,1.613,1.617,511.46,826.86,1.62,direct,
1744326000,1.625,1.615,1.62,1912.36,3101.62,1.622,direct,
1744329600,1.618,1.608,1.625,18003,29024.26,1.612,multiply,BTC
1744333200,1.643,1.615,1.627,158.38,256.52,1.643,direct,
1744336800,1.659,1.643,1.643,320.77,530.96,1.655,direct,
1744340400,1.665,1.652,1.655,564.82,938.54,1.665,direct,
1744344000,1.67,1.665,1.665,59.65,99.61,1.67,direct,
1744347600,1.67,1.66,1.67,100.34,166.66,1.66,direct,
1744351200,1.776,1.66,1.66,40075.36,68100.02,1.69,direct,
1744354800,1.69,1.674,1.69,6093.26,10211.93,1.674,direct,
1744358400,1.68,1.662,1.674,190.05,317.01,1.663,direct,
1744362000,1.68,1.661,1.663,6604.11,11041.36,1.672,direct,
1744365600,1.693,1.671,1.672,6876.44,11527.84,1.679,direct,
1744369200,1.679,1.655,1.679,1288.56,2140.12,1.66,direct,
1744372800,1.669,1.66,1.66,273.13,455.1,1.669,direct,
1744376400,1.691,1.656,1.669,1237.76,2086.69,1.675,direct,
1744380000,1.69,1.648,1.675,3917.46,6542.24,1.672,direct,
1744383600,1.683,1.661,1.672,6684.77,11230.07,1.676,direct,
1744387200,1.687,1.673,1.676,733.85,1230.75,1.681,direct,
1744390800,1.697,1.675,1.681,2151.71,3631.39,1.691,direct,
1744394400,1.72,1.691,1.691,537.76,916.26,1.715,direct,
1744398000,1.715,1.694,1.715,9822.04,16731.04,1.701,direct,
1744401600,1.704,1.698,1.701,487.42,830.02,1.704,direct,
1744405200,1.712,1.692,1.704,421.59,719.08,1.694,direct,
1744408800,1.694,1.682,1.694,549.83,927.08,1.682,direct,
1744412400,1.682,1.666,1.682,328.26,547.88,1.668,direct,
1744416000,1.671,1.664,1.668,2038,3394.29,1.666,direct,
1744419600,1.667,1.661,1.666,10.59,17.65,1.661,direct,
1744423200,1.664,1.653,1.661,239.34,396.85,1.653,direct,
1744426800,1.655,1.653,1.653,81.97,135.65,1.655,direct,
1744430400,1.674,1.654,1.654,39974.1,66900.62,1.674,multiply,BTC
1744434000,1.676,1.655,1.655,741.3,1241.83,1.676,direct,
1744437600,1.676,1.673,1.676,77.86,130.29,1.673,direct,
1744441200,1.687,1.67,1.673,4270.75,7172.3,1.68,direct,
1744444800,1.703,1.68,1.68,1199.49,2037.98,1.699,direct,
1744448400,1.7,1.688,1.699,279.33,473.83,1.692,direct,
1744452000,1.692,1.671,1.692,2051.4,3435.23,1.671,direct,
1744455600,1.69,1.671,1.671,2916.7,4924.51,1.688,direct,
1744459200,1.688,1.674,1.688,17231.12,28936,1.68,direct,
1744462800,1.731,1.68,1.68,5840.45,9965.87,1.731,direct,
1744466400,1.801,1.731,1.731,84362.22,149323.82,1.767,direct,
1744470000,1.789,1.758,1.767,1988.17,3518.7,1.779,direct,
1744473600,1.779,1.75,1.779,319.26,564.43,1.75,direct,
1744477200,1.758,1.738,1.75,8779.47,15399.16,1.758,direct,
1744480800,1.777,1.758,1.758,15680.8,27600.26,1.775,direct,
1744484400,1.792,1.775,1.775,1095.52,1962.7,1.79,direct,
1744488000,1.819,1.788,1.79,31401.18,56984.45,1.811,direct,
1744491600,1.811,1.796,1.811,1153.05,2077.56,1.81,direct,
1744495200,1.832,1.81,1.81,892.86,1627.86,1.823,direct,
1744498800,1.823,1.793,1.823,459.13,824.83,1.793,direct,
1744502400,1.8,1.786,1.792,30202.3,54183.39,1.794,multiply,BTC
1744506000,1.807,1.785,1.807,50.69,90.7,1.795,direct,
1744509600,1.795,1.778,1.795,15207.92,27060.72,1.788,direct,
1744513200,1.845,1.788,1.788,2860.2,5186.21,1.845,direct,
1744516800,1.845,1.823,1.845,145.5,265.23,1.823,direct,
1744520400,1.823,1.784,1.823,993.11,1772.5,1.784,direct,
1744524000,1.799,1.784,1.784,2305.37,4140.28,1.794,direct,
1744527600,1.794,1.777,1.794,28.14,50,1.777,direct,
1744531200,1.789,1.764,1.777,6992.34,12399.04,1.789,direct,
1744534800,1.811,1.789,1.789,2456.86,4418.28,1.809,direct,
1744538400,1.809,1.788,1.809,7943.38,14225.81,1.804,direct,
1744542000,1.82,1.774,1.804,1352.57,2415.32,1.779,direct,
1744545600,1.792,1.779,1.779,520.6,929.95,1.787,direct,
1744549200,1.787,1.746,1.787,973.49,1723.44,1.746,direct,
1744552800,1.752,1.746,1.746,171.28,299.25,1.748,direct,
1744556400,1.748,1.723,1.748,2733.92,4725.05,1.725,direct,
1744560000,1.747,1.725,1.725,3030.48,5261.24,1.737,direct,
1744563600,1.779,1.737,1.737,3015.14,5342.69,1.779,direct,
1744567200,1.779,1.76,1.779,847.75,1499.47,1.76,direct,
1744570800,1.76,1.695,1.76,17390.38,29730.23,1.706,direct,
1744574400,1.724,1.695,1.706,1276.97,2173.72,1.698,direct,
1744578000,1.705,1.687,1.698,4225.67,7141.86,1.705,direct,
1744581600,1.705,1.69,1.705,1331.32,2258.81,1.69,direct,
1744585200,1.709,1.688,1.69,757.01,1279.92,1.709,direct,
1744588800,1.748,1.705,1.709,15588.97,27038.36,1.734,direct,
1744592400,1.734,1.709,1.734,960.71,1641.85,1.709,direct,
1744596000,1.768,1.709,1.709,14584.65,25777.93,1.768,direct,
1744599600,1.768,1.738,1.768,151.87,264,1.738,direct,
1744603200,1.742,1.714,1.738,4191.34,7242.24,1.742,direct,
1744606800,1.743,1.738,1.742,19454.4,33860.37,1.738,direct,
1744610400,1.738,1.712,1.738,1568.73,2694.87,1.712,direct,
